# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.18
2                       6.12
4                       5.87
8                       6.03
16                      7.18
32                      7.88
64                      8.21
128                     9.01
256                    10.66
512                    12.06
1024                   13.86
2048                   17.50
4096                   24.57
8192                   35.58
16384                  59.02
32768                 110.38
65536                 192.64
131072                365.41
262144                707.61
524288               1364.19
1048576              2792.22
