# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.26
2                      41.48
4                      44.06
8                      44.35
16                     45.45
32                     44.58
64                     48.84
128                    65.58
256                    99.60
512                   136.86
1024                  202.75
2048                  327.22
4096                  570.82
8192                 1049.76
16384                2436.58
32768                4364.22
65536                5638.92
131072               9714.98
262144              17845.99
524288              34372.00
1048576             66215.22
