# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      40.03
2                      41.70
4                      44.20
8                      46.03
16                     48.36
32                     49.76
64                     55.68
128                   169.50
256                   159.31
512                   198.81
1024                  215.96
2048                  339.19
4096                  575.19
8192                 1038.74
16384                2404.01
32768                4857.35
65536                5869.01
131072               9695.49
262144              18168.09
524288              34224.03
1048576             66025.49
