# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.64
2                       6.78
4                       6.22
8                       6.25
16                      7.25
32                      7.93
64                      8.17
128                     9.02
256                    13.34
512                    17.60
1024                   20.92
2048                   28.09
4096                   38.49
8192                   57.78
16384                  63.58
32768                  75.73
65536                 101.59
131072                155.16
262144                263.28
524288                477.48
1048576               896.94
