# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.63
2                      11.25
4                      10.76
8                      11.25
16                     14.05
32                     15.38
64                     15.68
128                    16.42
256                    20.92
512                    25.32
1024                   31.45
2048                   43.39
4096                   57.69
8192                   80.56
16384                  95.33
32768                 127.32
65536                 196.16
131072                350.03
262144                635.37
524288               1218.58
1048576              2383.73
