
# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.26
2                       2.96
4                       2.89
8                       3.08
16                      3.29
32                      3.33
64                      3.55
128                     4.01
256                     7.90
512                    11.03
1024                   15.56
2048                   20.94
4096                   27.93
8192                   46.07
16384                  46.88
32768                  49.50
65536                  55.38
131072                 68.04
262144                 94.60
524288                149.93
1048576               246.28
