# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.10
2                       2.94
4                       2.87
8                       3.04
16                      3.28
32                      3.38
64                      3.53
128                     4.07
256                     8.11
512                    11.81
1024                   14.81
2048                   20.96
4096                   27.34
8192                   46.41
16384                  47.07
32768                  49.88
65536                  56.61
131072                 69.44
262144                 95.90
524288                149.18
1048576               246.05
