
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       5.94
8                       5.97
16                      5.92
32                      5.79
64                      6.09
128                     7.01
256                     8.51
512                    12.08
1024                   13.64
2048                   15.53
4096                   19.48
8192                   26.23
16384                  34.77
32768                  43.65
65536                  62.66
131072                 99.63
262144                174.98
524288                330.42
1048576               681.62
