
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       5.92
8                       6.00
16                      5.74
32                      6.02
64                      6.01
128                     7.23
256                     8.52
512                    12.13
1024                   13.91
2048                   15.85
4096                   18.82
8192                   25.52
16384                  34.91
32768                  43.65
65536                  62.40
131072                 99.15
262144                176.30
524288                330.36
1048576               685.73
