# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.35
8                      26.61
16                     26.40
32                     26.44
64                     27.67
128                    28.77
256                    39.41
512                    44.69
1024                   47.27
2048                   50.32
4096                   54.37
8192                   66.08
16384                  88.78
32768                 103.82
65536                 128.44
131072                172.58
262144                253.48
524288                621.50
1048576              2857.61
