# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.52
8                       2.52
16                      2.48
32                      2.54
64                      2.61
128                     2.90
256                     3.45
512                     6.50
1024                    8.81
2048                    9.86
4096                   12.02
8192                   17.81
16384                  24.78
32768                  32.22
65536                  50.69
131072                 82.49
262144                148.43
524288                280.11
1048576               572.23
