
# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       5.97
8                       6.11
16                      6.20
32                      6.04
64                      6.26
128                     7.31
256                    12.06
512                    12.57
1024                   14.88
2048                   16.72
4096                   18.99
8192                   49.45
16384                 139.26
32768                 159.35
65536                 176.03
131072                177.36
262144                194.30
524288                226.18
1048576               286.17
