# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       5.86
8                       6.17
16                      5.88
32                      6.02
64                      6.14
128                     7.18
256                    12.58
512                    12.02
1024                   14.00
2048                   15.84
4096                   19.39
8192                   50.59
16384                 138.18
32768                 159.81
65536                 177.10
131072                182.04
262144                202.05
524288                230.59
1048576               291.95
