# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.30
8                      27.08
16                     26.57
32                     26.72
64                     26.80
128                    28.98
256                    44.30
512                    44.81
1024                   48.17
2048                   51.02
4096                   55.82
8192                   92.78
16384                 243.41
32768                 271.68
65536                 289.52
131072                294.60
262144                412.50
524288                808.18
1048576              1127.05
