# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.86
8                      10.92
16                     10.95
32                     10.90
64                     11.12
128                    12.39
256                    19.88
512                    19.93
1024                   22.84
2048                   25.79
4096                   30.09
8192                   60.27
16384                 167.36
32768                 188.68
65536                 204.67
131072                209.88
262144                223.84
524288                266.52
1048576               337.05
