
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.43
2                      12.58
4                      12.31
8                      12.25
16                     13.29
32                     17.11
64                     17.16
128                    20.13
256                    20.94
512                    27.97
1024                   28.89
2048                   29.30
4096                   30.57
8192                   43.16
16384                  92.22
32768                  87.91
65536                  90.49
131072                161.57
262144                337.13
524288                792.74
1048576              1668.86
