
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.97
2                      12.08
4                      11.90
8                      11.79
16                     12.56
32                     16.61
64                     16.67
128                    19.93
256                    20.65
512                    26.21
1024                   27.03
2048                   28.28
4096                  163.87
8192                   36.73
16384                  46.99
32768                  63.06
65536                 100.71
131072                172.53
262144                345.99
524288                823.26
1048576              1566.42
