# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      70.92
2                      80.24
4                      81.07
8                      86.77
16                     90.01
32                     92.83
64                     99.90
128                   371.01
256                   210.84
512                   762.60
1024                  391.66
2048                  423.53
4096                  464.83
8192                  572.08
16384                 753.00
32768                1102.87
65536                2327.68
131072               4964.00
262144              10059.67
524288              20248.15
1048576             40722.55
