# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      70.65
2                      81.66
4                      81.69
8                      87.17
16                     89.81
32                     91.97
64                     99.14
128                   326.29
256                   223.06
512                   854.36
1024                  392.92
2048                  425.78
4096                  466.18
8192                  575.71
16384                 761.83
32768                1101.88
65536                2326.05
131072               4965.54
262144              10066.62
524288              20246.06
1048576             40720.30
