# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      28.02
2                      28.25
4                      29.52
8                      40.49
16                     40.29
32                     44.50
64                     45.85
128                    49.38
256                    69.64
512                    90.34
1024                   95.98
2048                  102.60
4096                  113.22
8192                  146.08
16384                 197.63
32768                 262.78
65536                 496.31
131072               1026.18
262144               2168.01
524288               4777.26
1048576              9280.23
