
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.05
2                       4.62
4                       4.60
8                       4.41
16                      5.39
32                      5.51
64                      5.85
128                     8.30
256                     7.85
512                     9.48
1024                   10.32
2048                   10.29
4096                   11.42
8192                   12.41
16384                  16.18
32768                  22.61
65536                  41.32
131072                 67.88
262144                123.51
524288                179.95
1048576               412.85
