
# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.31
2                      12.90
4                      12.18
8                      12.17
16                     13.36
32                     17.43
64                     17.83
128                    20.59
256                    21.51
512                    28.44
1024                   43.40
2048                   44.70
4096                   46.45
8192                  220.42
16384                 259.65
32768                  88.74
65536                  94.62
131072                144.20
262144                390.24
524288                686.36
1048576              1360.65
