# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.73
2                      19.64
4                      19.91
8                      21.21
16                     29.61
32                     30.17
64                     33.52
128                    34.47
256                    48.04
512                    56.18
1024                   72.61
2048                   75.41
4096                  356.21
8192                  221.85
16384                 135.41
32768                 122.74
65536                 193.85
131072                393.63
262144                832.76
524288               1798.17
1048576              3647.95
