
# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.22
2                      18.90
4                      18.98
8                      19.97
16                     28.79
32                     29.45
64                     33.47
128                    34.54
256                    49.15
512                    50.07
1024                  191.24
2048                   68.99
4096                   74.37
8192                  125.94
16384                 138.44
32768                 129.56
65536                 201.23
131072                377.90
262144                795.87
524288               1732.04
1048576              3320.40
