# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      28.54
2                      28.92
4                      29.80
8                      40.89
16                     41.14
32                     45.43
64                     46.42
128                    61.66
256                    83.95
512                    88.63
1024                  111.14
2048                  116.60
4096                  126.10
8192                  181.61
16384                 214.36
32768                 230.53
65536                 430.91
131072                902.63
262144               1823.93
524288               3822.74
1048576              7360.34
