# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.93
2                       4.66
4                       4.64
8                       4.46
16                      5.31
32                      5.24
64                      5.94
128                     8.03
256                     7.87
512                     9.69
1024                   23.22
2048                   23.99
4096                   23.75
8192                   62.46
16384                  63.01
32768                  66.01
65536                 150.73
131072                162.16
262144                187.76
524288                251.44
1048576               356.27
