# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     613.79
2                     613.07
4                     613.99
8                     616.49
16                    618.62
32                    618.87
64                    632.94
128                   631.60
256                   635.91
512                   657.27
1024                  714.41
2048                  840.43
4096                 1568.09
8192                 1576.61
16384                3182.84
32768                6577.52
65536              283115.95
131072              22397.55
262144              22559.40
524288               7205.31
1048576              8599.41

MPICH Slingshot Network Summary: 237 network timeouts

