# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     169.71
2                     168.54
4                     168.86
8                     169.53
16                    169.87
32                    169.88
64                    171.40
128                   173.33
256                   174.40
512                   179.73
1024                  191.40
2048                  214.66
4096                  722.67
8192                  851.15
16384                 716.37
32768                1469.25
65536              141266.18
131072               5290.49
262144               5346.33
524288               1785.86
1048576              2124.19

MPICH Slingshot Network Summary: 42 network timeouts

