# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     168.51
2                     167.35
4                     167.34
8                     168.12
16                    167.39
32                    167.32
64                    169.00
128                   170.76
256                   222.19
512                   178.12
1024                  186.89
2048                  209.48
4096                  368.78
8192                  371.49
16384                 737.92
32768                1646.15
65536               92881.76
131072               5569.48
262144               5601.18
524288               1679.16
1048576              2043.96
