# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                   45044.44
8                   45031.21
16                  45225.73
32                  45290.42
64                    102.45
128                   104.28
256                   108.10
512                   114.18
1024                  128.18
2048                  142.64
4096                  144.29
8192                  144.04
16384                 158.23
32768                 176.63
65536               27786.60
131072              25414.79
262144                412.50
524288                479.98
1048576               744.94
