# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     197.09
8                     194.98
16                    194.65
32                    196.58
64                     67.43
128                    68.29
256                    70.63
512                    73.65
1024                   77.71
2048                   84.02
4096                   87.00
8192                   85.09
16384                  89.18
32768                  99.14
65536                 118.38
131072                152.71
262144                239.87
524288                291.12
1048576               383.19
