# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     198.20
8                     196.44
16                    196.07
32                    198.35
64                     66.95
128                    68.46
256                    70.67
512                    73.43
1024                   77.20
2048                   85.14
4096                   86.34
8192                   85.44
16384                  90.01
32768                  99.84
65536                 119.20
131072                186.29
262144                241.44
524288                282.49
1048576               371.05
