#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      34.86
8                      33.12
16                     33.18
32                     34.81
64                     38.76
128                    43.93
256                    43.93
512                    44.53
1024                   44.80
2048                   45.39
4096                   46.55
8192                   47.90
16384                  49.05
32768                  49.15
65536                  48.54
131072                 49.27
262144                 92.69
524288                115.82
1048576               127.14
