# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     325.00
2                     310.08
4                     282.62
8                     280.34
16                    281.19
32                    280.71
64                    274.99
128                   276.68
256                   260.90
512                   263.29
1024                  268.97
2048                  285.34
4096                  321.89
8192                48541.54
16384                1310.02
32768                 348.73
65536                 581.05
131072                820.04
262144               1696.52
524288               3843.95
1048576              6901.26
