# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      27.47
2                      26.83
4                      26.85
8                      26.99
16                     26.88
32                     27.20
64                     27.39
128                    27.17
256                    27.35
512                    28.00
1024                   28.36
2048                   28.79
4096                   30.51
8192                   31.32
16384                  34.67
32768                  41.97
65536                  43.08
131072                 50.20
262144                 67.56
524288                101.50
1048576               169.37
