# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      27.39
2                      26.83
4                      26.83
8                      26.93
16                     26.75
32                     27.08
64                     27.02
128                    27.27
256                    27.15
512                    27.31
1024                   27.61
2048                   28.49
4096                   30.19
8192                   31.14
16384                  34.56
32768                  41.82
65536                  42.47
131072                 49.86
262144                 67.24
524288                101.07
1048576               168.82
