# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.58
2                      26.55
4                      28.80
8                      30.66
16                     31.66
32                     33.36
64                     31.30
128                    39.43
256                    43.98
512                    61.56
1024                  101.78
2048                  204.97
4096                  271.14
8192                  503.57
16384                1102.90
32768                1439.88
65536                2486.84
131072               4778.86
262144               9084.14
524288              17344.94
1048576             33240.85
