# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.91
2                      17.88
4                      20.44
8                      25.08
16                     24.23
32                     26.15
64                     26.92
128                    29.22
256                    33.75
512                    40.34
1024                   51.27
2048                  137.17
4096                  159.40
8192                  215.86
16384                2273.06
32768                2475.43
65536                2902.71
131072               2930.28
262144               3654.28
524288               4965.28
1048576              7647.80
