
# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.09
2                       3.00
4                       2.87
8                       3.00
16                      3.23
32                      3.24
64                      3.50
128                     4.04
256                     7.93
512                    11.56
1024                   14.50
2048                   21.24
4096                   27.72
8192                   44.30
16384                  45.17
32768                  48.23
65536                  54.55
131072                 68.19
262144                 94.90
524288                148.14
1048576               245.91
