# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.67
8                       2.49
16                      2.44
32                      2.53
64                      2.55
128                     2.90
256                     3.45
512                     7.11
1024                    8.80
2048                   10.01
4096                   12.41
8192                   18.07
16384                  24.20
32768                  32.77
65536                  49.90
131072                 84.60
262144                152.80
524288                286.88
1048576               592.21
