
# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.81
8                       2.59
16                      2.54
32                      2.57
64                      2.62
128                     2.93
256                     6.98
512                     7.09
1024                    9.97
2048                   11.60
4096                   14.51
8192                   41.67
16384                 113.33
32768                 134.53
65536                 143.70
131072                144.87
262144                154.14
524288                184.99
1048576               239.96
