# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.59
8                       2.60
16                      2.47
32                      2.53
64                      2.62
128                     2.85
256                     7.13
512                     7.08
1024                    9.95
2048                   10.71
4096                   13.81
8192                   41.28
16384                 113.79
32768                 132.43
65536                 142.65
131072                143.98
262144                153.50
524288                181.97
1048576               239.60
