# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.22
2                      43.60
4                      52.00
8                      52.19
16                     57.44
32                     57.76
64                     60.49
128                    66.35
256                   149.17
512                   480.71
1024                  604.18
2048                  224.94
4096                  222.73
8192                  269.05
16384                 322.10
32768                 503.88
65536                1036.36
131072               2354.72
262144               4867.29
524288               9927.45
1048576             19923.23
