
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.38
2                       4.52
4                       4.56
8                       4.38
16                      5.35
32                      5.17
64                      5.82
128                     8.80
256                     7.61
512                     9.07
1024                   10.54
2048                   10.30
4096                   11.30
8192                   13.51
16384                  16.33
32768                  22.94
65536                  45.50
131072                 71.26
262144                130.20
524288                189.52
1048576               434.98
