#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.32
2                      33.38
4                      33.62
8                      33.57
16                     33.51
32                     33.51
64                     33.69
128                    33.79
256                    33.74
512                    33.90
1024                   34.61
2048                   37.38
4096                   37.70
8192                   37.68
16384                  37.95
32768                  39.11
65536                  59.10
131072                 61.66
262144                 67.85
524288                 82.89
1048576               116.53
