# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.64
2                      33.34
4                      33.38
8                      33.97
16                     33.62
32                     33.57
64                     34.52
128                    33.96
256                    33.88
512                    33.87
1024                   34.68
2048                   37.72
4096                   37.91
8192                   37.73
16384                  38.00
32768                  39.29
65536                  58.35
131072                 61.04
262144                 67.32
524288                 82.22
1048576               116.14
