# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.23
2                      28.63
4                      27.96
8                      28.11
16                     29.13
32                     31.13
64                     31.52
128                    31.94
256                    32.59
512                    42.57
1024                   63.57
2048                   68.31
4096                   74.21
8192                   85.39
16384                 100.95
32768                 127.82
65536                 185.32
131072                304.73
262144                539.14
524288               1014.68
1048576              2004.75
