# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.03
2                      20.90
4                      20.89
8                      20.80
16                     20.80
32                     21.39
64                     22.02
128                    22.51
256                    22.55
512                    31.21
1024                   50.31
2048                   52.11
4096                   53.87
8192                   59.63
16384                  65.29
32768                  74.97
65536                  97.80
131072                148.13
262144                241.94
524288                435.24
1048576               867.63
