# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.26
2                      44.83
4                      45.02
8                      44.91
16                     44.54
32                     44.71
64                     45.02
128                    45.09
256                    45.04
512                    45.23
1024                   42.88
2048                   43.12
4096                   43.33
8192                   43.54
16384                  43.61
32768                  44.05
65536                  45.80
131072                 62.37
262144                 67.39
524288                 73.19
1048576                84.29
