# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.64
2                      29.66
4                      28.21
8                      28.30
16                     29.41
32                     31.28
64                     31.75
128                    32.11
256                    32.61
512                    42.42
1024                   63.78
2048                   68.59
4096                   74.47
8192                   85.69
16384                 100.74
32768                 128.16
65536                 185.31
131072                304.93
262144                539.25
524288               1013.91
1048576              2001.96
