# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.51
8                      12.46
16                     12.44
32                     12.38
64                     12.44
128                    13.40
256                    15.03
512                    29.73
1024                   50.98
2048                   55.21
4096                   94.82
8192                   99.60
16384                 105.70
32768                 115.69
65536                 124.16
131072                146.96
262144                205.76
524288                336.98
1048576               719.05
