# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.25
8                       6.24
16                      6.15
32                      6.22
64                      6.31
128                     6.19
256                     6.71
512                    17.30
1024                   39.54
2048                   39.24
4096                   70.23
8192                   76.68
16384                  82.21
32768                  90.83
65536                 102.53
131072                122.81
262144                169.32
524288                263.24
1048576               542.64
