# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.38
8                      21.97
16                     20.95
32                     20.63
64                     20.26
128                    21.47
256                    25.59
512                    40.72
1024                   61.66
2048                   69.15
4096                  113.75
8192                  118.95
16384                 124.58
32768                 131.92
65536                 143.46
131072                172.42
262144                240.29
524288                388.51
1048576               818.57
