# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     205.43
2                     202.95
4                     202.01
8                     207.11
16                    206.27
32                    226.10
64                    234.13
128                   242.16
256                   245.85
512                   254.62
1024                  155.59
2048                  155.79
4096                  162.46
8192                  182.12
16384                 200.53
32768                 178.45
65536                 237.47
131072                480.34
262144               1050.22
524288               2760.33
1048576              5060.26
