# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      98.78
2                      97.22
4                      97.06
8                      97.87
16                    101.88
32                    101.84
64                    127.52
128                   131.03
256                   132.14
512                   135.08
1024                  105.89
2048                  105.45
4096                  106.99
8192                  113.28
16384                 120.14
32768                 113.71
65536                 124.93
131072                239.88
262144                504.15
524288               1392.44
1048576              2611.05
