# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.88
2                      29.84
4                      29.46
8                      29.27
16                     29.44
32                     30.03
64                     30.97
128                    31.18
256                    54.85
512                    55.77
1024                   63.21
2048                   63.15
4096                   64.26
8192                   65.64
16384                  66.65
32768                  65.93
65536                  66.43
131072                 77.12
262144                103.52
524288                328.88
1048576               648.25
