# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      85.80
2                      83.17
4                      83.05
8                      82.50
16                     81.21
32                     80.94
64                     81.70
128                    83.27
256                    84.27
512                    87.33
1024                   94.01
2048                   95.31
4096                  106.20
8192                  188.24
16384                 244.22
32768                 201.50
65536                 252.04
131072                238.72
262144                407.19
524288                781.10
1048576              1436.59
