# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      18.45
8                      16.96
16                     17.08
32                     17.71
64                     18.44
128                    18.38
256                    18.39
512                    18.55
1024                   18.41
2048                   18.53
4096                   18.71
8192                   19.15
16384                  20.02
32768                  20.31
65536                  20.45
131072                 21.21
262144                 21.06
524288                 23.66
1048576                27.09
