# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     386.72
2                     385.41
4                     383.16
8                     385.84
16                    384.76
32                    384.00
64                    380.23
128                   382.79
256                   360.16
512                   357.86
1024                  358.96
2048                  385.89
4096                  376.58
8192                  392.25
16384                 450.29
32768                 546.92
65536                 920.16
131072               1753.94
262144               5829.27
524288              11866.09
1048576             14809.71
