0 gpu 4 1
0 gpu 4 1

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.87              Pass
2                       3.77              Pass
4                       7.26              Pass
8                      15.31              Pass
16                     30.78              Pass
32                     61.74              Pass
64                    122.65              Pass
128                   245.23              Pass
256                    61.10              Pass
512                   953.16              Pass
1024                 1884.25              Pass
2048                 3765.71              Pass
4096                 7566.82              Pass
8192                14952.43              Pass
16384               24230.40              Pass
32768               27844.87              Pass
65536               32288.92              Pass
131072              34737.28              Pass
262144              35846.28              Pass
524288              34431.69              Pass
1048576             34415.75              Pass
2097152             34460.95              Pass
4194304             34484.42              Pass
