0 gpu 4 2
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.62              Pass
2                      11.11              Pass
4                      22.04              Pass
8                      45.22              Pass
16                     82.54              Pass
32                    163.22              Pass
64                    315.98              Pass
128                   483.81              Pass
256                   900.48              Pass
512                  1454.70              Pass
1024                 2656.64              Pass
2048                 5002.54              Pass
4096                 9295.50              Pass
8192                14345.11              Pass
16384               22159.24              Pass
32768               31369.84              Pass
65536               41672.87              Pass
131072              56270.70              Pass
262144              41886.30              Pass
524288              27993.89              Pass
1048576             23537.79              Pass
2097152             20882.50              Pass
4194304             20895.48              Pass
