0 gpu 4 1
0 gpu 4 1

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.42              Pass
2                       2.42              Pass
4                       2.42              Pass
8                       2.46              Pass
16                      2.41              Pass
32                      2.42              Pass
64                      2.42              Pass
128                     2.96              Pass
256                     3.31              Pass
512                     3.39              Pass
1024                    3.40              Pass
2048                    3.55              Pass
4096                    3.66              Pass
8192                    4.13              Pass
16384                   4.73              Pass
32768                   8.64              Pass
65536                   9.90              Pass
131072                 12.76              Pass
262144                 18.13              Pass
524288                 28.96              Pass
1048576                50.55              Pass
2097152                93.72              Pass
4194304               179.95              Pass
