0 gpu 4 1
0 gpu 4 1

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.36              Pass
2                       2.40              Pass
4                       2.38              Pass
8                       2.40              Pass
16                      2.39              Pass
32                      2.37              Pass
64                      2.38              Pass
128                     2.92              Pass
256                     3.02              Pass
512                     3.03              Pass
1024                    3.09              Pass
2048                    3.23              Pass
4096                    3.37              Pass
8192                    3.75              Pass
16384                   4.41              Pass
32768                   7.82              Pass
65536                   9.12              Pass
131072                 12.15              Pass
262144                 17.89              Pass
524288                 29.55              Pass
1048576                52.69              Pass
2097152                98.74              Pass
4194304               191.31              Pass
