0 gpu 4 1
0 gpu 4 1

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.28              Pass
2                       2.30              Pass
4                       2.28              Pass
8                       2.29              Pass
16                      2.29              Pass
32                      2.29              Pass
64                      2.28              Pass
128                     2.81              Pass
256                     2.91              Pass
512                     2.93              Pass
1024                    2.98              Pass
2048                    3.12              Pass
4096                    3.25              Pass
8192                    3.63              Pass
16384                   4.24              Pass
32768                   7.59              Pass
65536                   9.05              Pass
131072                 11.93              Pass
262144                 17.74              Pass
524288                 29.30              Pass
1048576                52.47              Pass
2097152                98.66              Pass
4194304               191.26              Pass
